C1,C2,C3,ISO,Target
739,65,695,TH,false
1163,0,351,AU,false
1583,0,421,AU,false
2596,0,837,AU,true
1923,0,129,AU,false
2059,0,923,AU,false
2133,0,385,AU,false
17001,0,14,AU,false
1660,0,797,AU,false
15000,0,19,AU,false
1629,0,194,AU,false
2109,0,518,AU,true
2671,0,93,AU,false
1949,0,109,AU,false
2357,0,246,NO,false
1949,0,688,AU,false
2771,0,871,AU,false
1637,0,352,AU,false
1592,0,858,AU,false
4967,0,145,AU,false
13132,0,29,NO,false
1107,0,253,AU,false
1691,0,560,AU,false
1751,0,356,AU,false
1037,0,736,AU,false
1646,123,790,CA,false
2658,0,390,DE,false
2073,0,297,AU,false
3377,0,139,AU,false
7093,0,970,NZ,false
1484,0,193,AU,false
2836,0,930,NZ,false
1923,0,937,MT,false
3866,0,440,AU,false
2749,0,925,NZ,false
1815,0,620,NZ,false
1899,0,453,NZ,false
2449,0,29,NZ,false
7045,0,475,NZ,false
4199,0,770,NZ,false
2180,0,367,NZ,false
2593,0,41,NZ,false
3863,0,476,AU,false
7708,0,686,AU,true
7092,0,749,AU,false
11399,0,71,AU,false
1014,0,601,GB,false
3091,0,786,US,false
1832,0,529,US,false
1851,0,987,US,true
1578,0,985,US,true
1739,0,846,US,false
2497,0,212,US,false
3575,581,425,TH,false
1131,0,161,AU,false
1143,117,239,TH,false
4582,0,102,AU,false
598,0,794,AU,false
2632,0,179,AU,false
955,0,259,AU,false
1882,0,310,AU,false
2029,0,566,DE,false
2095,187,973,DK,false
2771,0,402,AU,false
2137,0,884,AU,false
5937,0,189,AU,false
1685,0,636,AU,false
1038,0,388,AU,false
1619,0,658,RU,false
1030,0,4,AU,false
3481,0,170,AU,false
2790,0,186,AU,false
2752,0,21,AU,false
1494,0,719,AU,true
3154,0,484,AU,false
3047,0,724,AU,false
1924,0,407,AU,false
1660,0,215,AU,false
1301,0,435,AU,true
1729,0,336,AU,false
2375,1233,476,TH,false
2504,0,30,UA,false
4391,0,289,AU,false
2623,0,216,AU,false
1393,0,508,AU,false
1132,0,713,AU,false
2158,0,971,AU,false
2353,0,40,AU,false
2510,0,26,AU,false
4391,0,139,AU,false
2562,0,417,AU,false
4952,0,682,AU,false
801,0,213,AU,false
2131,194,908,CA,false
848,0,346,AU,false
6291,0,395,AU,false
703,0,408,AU,false
3702,0,189,AU,false
4300,0,921,AU,false
2818,0,797,AU,false
6208,0,869,GB,true
1001,0,332,AU,false
1478,0,486,AU,false
2373,0,253,AU,false
4423,0,438,AU,false
5933,0,46,AU,false
1386,98,946,CA,false
4023,0,558,AU,true
2366,0,101,AU,false
2627,0,893,AU,false
3040,0,67,AU,false
2258,0,247,AU,false
2512,0,88,AU,true
2812,0,458,AU,false
1204,0,916,AU,false
2818,0,277,AU,false
2048,0,27,AU,false
2899,0,24,NZ,false
1399,0,219,NZ,false
2049,0,943,NZ,false
2299,0,958,NZ,false
2629,0,720,NZ,false
18138,0,65,AU,true
17548,0,756,AU,false
11020,0,780,AU,false
2836,0,23,AU,false
38866,0,424,NZ,false
4452,0,843,AU,false
1999,0,215,NZ,false
1899,0,495,NZ,false
7549,0,472,NZ,false
2099,0,525,NZ,false
3766,0,725,NZ,false
4024,0,50,NZ,false
8963,399,429,US,false
1875,0,712,AU,false
2998,0,662,AU,false
1913,0,171,AU,false
11346,399,293,US,false
7140,0,41,AU,false
2292,0,139,GB,false
4191,0,283,GB,false
1955,0,135,AU,false
1955,0,11,AU,false
1086,286,997,HN,false
3894,0,858,US,false
1303,0,330,US,false
1395,0,546,US,false
3771,0,415,US,false
4321,2093,971,CA,false
2082,0,721,US,false
1535,0,968,US,true
11553,0,910,US,false
2737,0,587,US,true
2129,0,969,US,false
1967,0,128,US,false
923,0,715,US,false
5373,0,440,US,false
1866,0,932,US,false
1009,0,745,US,false
1038,0,782,US,false
2236,0,161,AU,true
2542,0,26,AU,false
2567,0,50,AU,true
2768,0,721,NO,false
